Crop,Fertilizer,Form,Target Nutrient,Application Rate (kg/ha),Recommended Stage,Frequency,Soil pH Range,Humidity Condition Favorable,Remarks,Application Rate (t/ha),Application Rate
Wheat,Urea (46% N),Granular,Nitrogen (N),80-120,Basal / Tillering (split applications),1-2,6.0-8.0,Moderate,Common N source; split between basal and top-dress to reduce losses.,,
Wheat,Diammonium Phosphate (DAP 18-46-0),Granular,Phosphorus (P) & Nitrogen (N),50-100,Basal (sowing),1,5.5-8.0,Moderate,Provides P at sowing; improves early root development.,,
Wheat,Single Super Phosphate (SSP),Granular,Phosphorus & Sulfur,100-200,Basal,1,5.5-8.0,Moderate,Good where S deficiency exists.,,
Wheat,"Muriate of Potash (MOP, KCl)",Granular,Potassium (K),40-80,Basal or early growth,1,6.0-8.5,Moderate,Ensures grain filling and stress tolerance.,,
Wheat,Ammonium Sulfate,Granular,Nitrogen & Sulfur,40-80,Top-dress,1-2,5.5-7.5,Moderate,Useful in S-deficient soils; acidifying effect.,,
Wheat,Gypsum (Calcium Sulfate),Granular,Calcium & Sulfur,200-500,Basal,1 (as needed),4.5-8.0,Moderate,Improves soil structure and supplies Ca and S.,,
Wheat,Zinc Sulfate (ZnSO4),Granular/Solution,Zinc (Zn),10-25,Basal or foliar,1,5.0-8.0,Moderate,Corrects Zn deficiency; foliar spray during tillering effective.,,
Wheat,Potassium Nitrate (KNO3),Granular / Fertigation,Potassium & Nitrogen,20-50 (foliar/fertigation eq.),Top-dress / Booting,1,6.0-8.0,Moderate,Fast-acting K source for critical stages.,,
Wheat,Compost / FYM,Organic / Bulk,Multiple (slow release),,Basal / Pre-sowing,1,5.5-8.5,Moderate to high,Improves soil organic matter and structure.,5-20,
Wheat,NPK Complex (20-20-0 or local blends),Granular,NPK balanced,100-200 depending on blend,Basal or split,1-2,5.5-8.0,Moderate,Use based on soil test recommendations.,,
Rice,Urea (46% N),Granular,Nitrogen (N),80-160,Split: basal + tillering + panicle initiation,2-3,5.5-7.5,High (flooded),Top-dress in splits to reduce volatilization in flooded rice.,,
Rice,Ammonium Sulfate,Granular,Nitrogen & Sulfur,60-100,Basal/top-dress,1-2,5.0-7.5,High,Useful in S-deficient paddies.,,
Rice,DAP (18-46-0),Granular,Phosphorus and N,50-100,Basal (transplanting or sowing),1,5.5-7.5,High,Apply at transplanting/sowing for early P supply.,,
Rice,MOP (KCl),Granular,Potassium,40-100,Split between basal and tillering,1-2,5.5-8.0,High,Essential for tiller development and grain quality.,,
Rice,Single Super Phosphate (SSP),Granular,Phosphorus & Sulfur,100-200,Basal,1,5.5-7.5,High,Good where S deficiency exists.,,
Rice,Zinc Sulfate (ZnSO4),Granular/Solution,Zinc,10-30,Basal or foliar (tillering),1,4.5-7.5,High,Zinc often deficient in puddled rice soils.,,
Rice,Gypsum,Granular,Calcium & Sulfur,200-400,Basal,1,4.5-8.0,High,Helps in sodic soils and supplies S.,,
Rice,Lime (for acidic soils),Powder,pH correction / Calcium,,Pre-sowing / off-season,1,<5.5 (use to raise pH),High,Raise pH in highly acidic paddies before cropping.,0.5-4,
Rice,NPK 12-32-16 (or local blend),Granular,Balanced NPK with higher P,100-200,Basal,1,5.5-8.0,High,Use based on soil test to support early growth.,,
Rice,Azolla / Green Manure,Organic/Biological,Slow release N and organic matter,,Basal / water management,1,5.0-8.0,High (puddled),In-situ green manure adds N and improves soil health.,,As per field practice
Tomato,Calcium Nitrate (Ca(NO3)2),Granular / Soluble,Calcium & Nitrogen,50-150,Vegetative / fruit set (foliar fertigation possible),1-3,5.5-7.5,Moderate to high,Prevents blossom-end rot; use as foliar or fertigation.,,
Tomato,NPK 10-52-10 (high P starter),Granular,Phosphorus,50-100,Transplanting / basal,1,5.5-7.5,Moderate,Good for root establishment.,,
Tomato,Potassium Sulfate (K2SO4),Granular,Potassium & Sulfur,40-100,Flowering and fruiting,1-2,6.0-7.5,Moderate,Improves fruit quality and shelf life.,,
Tomato,Magnesium Sulfate (Epsom salt),Soluble,Magnesium (Mg),10-30 (foliar or soil),When Mg deficiency observed,1-3,6.0-7.5,Moderate,Corrects interveinal chlorosis; foliar sprays are effective.,,
Tomato,Urea (46% N),Granular / Solution,Nitrogen,60-120,Split across vegetative growth,2-4,5.5-7.5,Moderate,Avoid excess N near harvest to prevent soft fruits.,,
Tomato,Bone Meal (High P organic),Powder / Organic,Phosphorus & Calcium,500-1000 kg/ha (organic aprox.),Basal / transplanting,1,6.0-7.5,Moderate,Slow-release P; good for organic systems.,,
Tomato,Seaweed Extract (biostimulant),Liquid (foliar),Trace elements & growth promoters,,Throughout crop cycle (foliar),Every 7-14 days,All,Moderate to high,Improves stress tolerance and fruit set.,,Per label (foliar)
Tomato,Compost / Vermicompost,Organic,Multiple (slow release),,Basal/soil amendment,1,5.5-8.0,Moderate to high,Improves soil health and water retention.,5-30,
Tomato,Zinc Sulfate,Granular/foliar,Zinc,5-25,Basal or foliar during fruit set,1,5.0-7.5,Moderate,Corrects Zn deficiency which affects fruiting.,,
