crop_type,soil_ph,relative_humidity_pct,air_temperature_c,growth_stage,Target_Nutrient,Form,Fertilizer
maize,7.03,60,33.2,flowering,Nitrogen,Granular,Urea (46% N)
maize,7.03,60,33.2,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.03,60,33.2,flowering,Potassium,Granular,MOP (KCl)
maize,7.03,60,33.2,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.03,60,33.2,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.03,60,33.2,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,7.03,60,33.2,flowering,Calcium & Sulfur,Granular,Gypsum
maize,7.03,60,33.2,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.03,60,33.2,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.03,60,33.2,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.5,61,24.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.5,61,24.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.5,61,24.3,vegetative,Potassium,Granular,MOP (KCl)
maize,6.5,61,24.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.5,61,24.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.5,61,24.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.5,61,24.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.5,61,24.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.5,61,24.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.5,61,24.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.06,42,24.5,flowering,Nitrogen,Granular,Urea (46% N)
maize,7.06,42,24.5,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.06,42,24.5,flowering,Potassium,Granular,MOP (KCl)
maize,7.06,42,24.5,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.06,42,24.5,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.06,42,24.5,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,7.06,42,24.5,flowering,Calcium & Sulfur,Granular,Gypsum
maize,7.06,42,24.5,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.06,42,24.5,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.06,42,24.5,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.26,83,18.9,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.26,83,18.9,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.26,83,18.9,vegetative,Potassium,Granular,MOP (KCl)
maize,6.26,83,18.9,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.26,83,18.9,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.26,83,18.9,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.26,83,18.9,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.26,83,18.9,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.26,83,18.9,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.26,83,18.9,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.21,82,22.4,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.21,82,22.4,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.21,82,22.4,vegetative,Potassium,Granular,MOP (KCl)
maize,6.21,82,22.4,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.21,82,22.4,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.21,82,22.4,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.21,82,22.4,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.21,82,22.4,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.21,82,22.4,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.21,82,22.4,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.9,51,36.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.9,51,36.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.9,51,36.3,vegetative,Potassium,Granular,MOP (KCl)
maize,6.9,51,36.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.9,51,36.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.9,51,36.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.9,51,36.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.9,51,36.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.9,51,36.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.9,51,36.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.89,67,20.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.89,67,20.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.89,67,20.3,vegetative,Potassium,Granular,MOP (KCl)
maize,6.89,67,20.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.89,67,20.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.89,67,20.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.89,67,20.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.89,67,20.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.89,67,20.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
